x,y
1277,758
1272,758
1270,758
1262,759
1255,759
1250,760
1242,760
1239,760
1246,760
1232,761
1250,877
1248,879
1251,881
1254,883
1251,885
1253,885
1249,886
1252,887
1249,892
1248,893
1247,896
1245,900
1244,901
1243,903
1243,904
1242,905
1241,907
1240,908
1239,910
1238,913
1236,917
1235,919
1234,921
1232,924
1231,926
1229,929
1228,932
1220,933
1222,941
1222,943
1206,949
1206,950
1214,950
1205,951
1215,952
1205,952
1204,953
1205,953
1216,954
1203,954
1215,955
1212,957
1202,958
1212,959
1207,961
1211,961
1200,962
961,962
1209,965
1198,966
971,968
1207,969
961,969
1190,969
1279,969
1183,970
1260,970
1252,970
1241,970
1252,970
1232,971
1225,971
963,971
1200,972
976,972
1194,973
1194,973
1186,973
1179,973
1175,973
960,974
956,975
962,977
977,980
1270,981
1259,982
1259,982
1251,982
1244,983
1235,983
1220,984
1209,984
1203,984
965,984
1197,985
1190,985
962,985
1182,985
962,988
962,991
979,995
960,998
972,1000
962,1001
967,1001
960,1005
962,1005
973,1006
956,1010
959,1011
960,1012
967,1014
960,1015
963,1016
961,1018
979,1018
957,1020
960,1023
963,1025
963,1027
993,1029
963,1032
958,1032
979,1036
993,1036
963,1038
990,1039
958,1040
993,1042
978,1042
963,1046
959,1048
994,1051
977,1051
991,1052
993,1056
959,1058
977,1059
964,1060
991,1063
959,1067
977,1068
992,1070
964,1073
978,1074
959,1074
992,1075
993,1080
960,1080
992,1081
967,1084
993,1085
968,1090
1262,1105
1251,1105
1266,1105
1261,1105
1247,1105
1247,1105
1238,1105
1252,1106
1226,1106
1238,1106
1215,1106
1190,1107
1181,1107
1156,1109
1156,1109
1150,1109
1150,1109
1135,1110
1135,1110
1129,1110
1129,1110
1100,1110
1107,1110
1107,1110
1093,1111
1100,1111
1086,1111
1073,1111
1079,1112
1055,1112
1045,1112
1033,1113
1022,1113
1026,1113
1273,1114
1267,1114
1256,1114
1259,1114
1251,1115
1239,1115
1233,1115
1220,1115
1226,1115
1181,1117
1188,1118
1158,1118
1144,1118
1150,1118
1136,1118
967,1119
1128,1119
1120,1119
1128,1119
1116,1119
1101,1120
1116,1120
1095,1120
1096,1120
1102,1120
1049,1122
1036,1122
1016,1122
1029,1122
968,1125
968,1139
983,1143
968,1146
982,1151
968,1153
982,1160
967,1161
980,1170
968,1172
993,1172
979,1179
968,1179
992,1184
979,1185
967,1186
978,1193
991,1197
977,1200
977,1209
977,1217
976,1225
976,1232
991,1236
976,1240
962,1266
991,1267
965,1269
961,1275
965,1279
