x,y
1252,942
1243,943
1237,943
1230,943
1222,943
1215,944
1209,944
1220,945
1202,945
1210,945
1125,949
1107,950
1097,951
1085,951
1091,951
1081,952
1074,952
1258,952
1056,953
1245,953
1056,953
1050,953
1062,953
1068,953
1238,954
1044,954
1039,954
1231,954
1034,955
1020,955
1026,955
1200,956
1016,956
1144,959
960,959
1138,959
955,960
949,960
940,960
1133,960
945,960
1127,960
1119,961
1115,961
1109,961
934,961
926,961
916,962
921,962
1096,962
1091,962
1080,963
1072,963
1261,963
1253,963
1060,964
1067,964
874,964
1054,964
1247,964
880,964
1239,965
1048,965
865,965
851,965
860,965
1041,965
1233,965
1035,966
1226,966
1029,966
845,966
1023,966
840,966
833,967
829,967
1196,967
1189,967
1203,967
817,968
823,968
812,968
1175,968
809,968
1182,968
1160,968
804,969
978,969
1154,969
1168,969
971,969
1148,970
795,970
961,970
1140,971
1133,971
953,971
946,971
933,971
939,971
927,972
1112,972
921,972
1104,972
913,973
1097,973
1091,973
1077,974
1084,974
1074,975
1061,975
1070,976
866,976
1054,976
862,976
1037,976
852,977
1023,977
847,977
1017,977
838,977
1031,977
840,978
834,978
1009,978
1007,978
995,978
827,978
824,978
1002,979
819,979
988,979
981,980
955,981
962,981
940,982
927,983
913,984
906,985
899,985
872,987
858,987
864,987
850,988
843,988
828,989
836,989
823,990
816,990
809,991
803,993
795,1002
792,1009
792,1016
782,1020
792,1022
781,1026
791,1028
781,1033
792,1034
781,1039
791,1043
780,1046
791,1050
791,1057
779,1060
779,1072
789,1078
778,1081
789,1084
778,1087
789,1092
788,1099
777,1105
788,1106
776,1110
788,1112
776,1117
787,1119
786,1125
776,1133
786,1133
787,1143
786,1148
790,1150
790,1150
790,1151
793,1153
656,1159
668,1160
661,1160
928,1161
931,1162
706,1163
944,1163
712,1163
951,1163
729,1163
725,1164
720,1164
989,1166
995,1166
1003,1166
1006,1167
1014,1167
1019,1167
1023,1168
1029,1168
810,1170
1053,1170
816,1170
1057,1170
1065,1170
821,1170
1061,1170
828,1170
1069,1171
1073,1171
834,1171
840,1171
1081,1172
1085,1172
845,1172
1089,1172
853,1172
860,1172
1097,1172
1093,1172
1101,1173
1105,1173
868,1173
875,1173
1109,1174
1120,1174
1125,1174
882,1174
643,1174
1128,1174
890,1174
641,1174
885,1174
895,1175
1136,1175
1132,1175
651,1175
649,1175
657,1175
659,1175
655,1175
646,1175
662,1175
902,1175
909,1175
1152,1175
669,1176
1140,1176
1144,1176
915,1176
671,1176
674,1176
920,1176
679,1176
677,1176
1167,1176
929,1177
1163,1177
1156,1177
1160,1177
684,1177
936,1177
688,1177
695,1177
1180,1177
697,1177
943,1178
1183,1178
701,1178
952,1178
706,1178
1195,1178
707,1178
710,1178
714,1179
721,1179
722,1179
962,1179
717,1179
967,1179
724,1179
967,1179
1203,1179
730,1179
1208,1180
973,1180
734,1180
736,1180
985,1180
978,1180
742,1180
741,1180
990,1180
1213,1180
748,1180
995,1180
1227,1181
1002,1181
753,1181
1221,1181
755,1181
756,1181
758,1181
760,1181
1234,1181
765,1181
767,1181
1008,1181
768,1181
1015,1181
772,1181
770,1182
1245,1182
1239,1182
779,1182
774,1182
1257,1182
1023,1182
780,1182
1030,1182
784,1182
1030,1182
786,1183
1270,1183
1265,1183
790,1183
798,1183
794,1183
1052,1183
796,1184
803,1184
800,1184
809,1184
807,1184
804,1184
1068,1184
816,1185
818,1185
1074,1185
820,1185
830,1185
822,1185
826,1185
824,1185
1081,1186
832,1186
843,1186
1089,1186
836,1186
834,1186
842,1186
838,1186
844,1186
848,1186
853,1186
854,1187
850,1187
1103,1187
1098,1187
852,1187
856,1187
1108,1187
863,1187
1107,1187
862,1187
857,1187
1113,1187
864,1187
1118,1187
868,1188
870,1188
1129,1188
881,1188
884,1188
878,1188
880,1188
875,1189
885,1189
1134,1189
894,1189
882,1189
888,1189
896,1189
892,1189
1141,1189
1148,1189
904,1189
901,1190
909,1190
1154,1190
908,1190
912,1190
1161,1190
920,1190
919,1190
1168,1191
917,1191
927,1191
926,1191
929,1191
927,1191
1174,1191
934,1191
1179,1191
922,1191
1186,1192
937,1192
941,1192
939,1192
941,1192
947,1192
1192,1192
945,1193
953,1193
957,1193
962,1193
953,1193
965,1193
1217,1194
967,1194
1223,1194
961,1194
969,1194
972,1194
965,1194
1229,1194
979,1194
983,1194
981,1194
987,1194
976,1194
973,1195
1235,1195
991,1195
989,1195
995,1195
993,1195
997,1195
1003,1195
999,1195
1005,1195
1001,1195
1247,1195
1254,1196
1009,1196
1013,1196
1259,1196
1016,1196
1019,1196
1265,1196
1021,1196
1027,1196
1025,1196
1023,1196
1029,1197
1271,1197
1033,1197
1031,1197
1277,1197
1039,1197
1035,1197
1045,1197
1037,1197
1043,1197
1047,1198
1049,1198
1051,1198
1057,1198
1055,1198
1063,1198
1059,1198
1061,1198
1065,1198
1069,1198
1067,1199
1071,1199
1075,1199
1076,1199
1073,1199
1081,1199
1083,1199
1087,1199
1084,1199
1079,1200
1091,1200
1095,1200
1096,1200
1099,1200
1101,1200
1103,1200
1105,1201
1107,1201
1109,1201
1112,1201
1115,1201
1118,1202
1118,1202
1122,1202
1132,1202
1135,1203
1137,1203
1145,1203
1143,1203
1149,1203
1148,1204
1150,1204
1155,1204
1153,1204
1159,1204
1158,1204
1163,1204
1161,1204
1164,1204
1169,1204
1169,1205
1180,1205
1175,1205
1173,1205
1177,1205
1183,1205
1185,1206
1189,1206
1191,1206
1198,1206
1197,1206
1193,1206
1203,1207
1199,1207
1207,1207
1209,1207
1215,1207
1205,1207
1217,1207
1213,1207
1211,1207
1217,1207
1221,1208
1223,1208
1225,1208
1229,1208
1231,1208
1237,1209
