x,y
787,642
781,642
814,643
785,644
788,645
786,646
791,647
776,647
817,648
788,648
778,650
792,650
821,653
795,653
795,656
824,657
799,658
799,662
827,662
787,662
795,663
803,663
800,664
830,665
803,667
804,669
836,671
800,672
796,675
806,677
807,679
809,681
1262,681
843,683
819,683
821,686
814,687
1264,689
815,690
1264,691
823,691
818,694
1265,694
825,695
819,697
821,699
852,701
822,701
1267,701
827,702
830,703
825,704
855,706
826,707
1269,707
832,708
828,709
1270,710
836,711
830,711
835,713
831,714
837,714
1271,714
838,716
834,716
1272,718
1273,723
855,724
856,728
869,729
859,732
861,737
902,791
905,797
884,802
908,803
885,804
882,805
887,807
911,808
884,809
888,811
886,813
914,813
891,813
893,816
888,817
889,819
892,819
896,821
894,822
890,822
891,824
898,825
922,825
897,826
899,827
900,829
895,830
925,830
901,831
901,832
902,833
1278,837
1276,837
1271,838
929,838
1271,840
908,840
901,841
909,841
1262,841
1267,842
932,843
907,843
898,843
1263,844
1253,845
906,846
1250,846
1254,847
1250,847
913,848
911,848
900,849
936,849
905,849
1247,850
909,850
914,851
905,853
1234,853
914,853
1232,854
908,854
916,854
1229,855
903,855
939,855
918,858
906,858
914,860
1213,860
1213,861
942,862
1212,862
944,865
1201,865
1198,866
1200,866
909,866
1196,867
1195,867
1193,868
1196,868
945,868
1194,869
1193,869
920,869
911,870
947,871
1182,871
918,871
1187,872
1179,872
923,872
1178,873
1183,873
1176,873
1181,874
1173,875
1180,875
1179,875
1170,876
949,876
1171,876
1176,876
1168,876
1174,877
922,877
1166,878
928,878
1171,878
1163,878
1169,879
1161,879
1159,880
1166,880
953,881
1164,881
930,881
1162,881
1134,882
1153,882
1160,882
1146,885
1151,886
921,887
932,888
935,890
924,891
937,893
938,895
926,895
938,897
961,897
940,898
1142,899
931,899
928,899
940,902
929,902
933,904
930,904
965,905
942,905
931,905
1146,906
936,906
931,907
943,908
932,909
934,910
937,910
968,911
942,911
937,911
945,912
935,912
943,913
936,914
947,914
937,916
948,918
971,919
940,919
973,921
941,922
946,922
951,923
946,924
942,926
948,926
1155,927
976,929
944,929
948,930
955,931
946,932
952,933
955,933
948,934
1158,934
946,935
979,936
950,937
956,937
951,940
1162,940
955,941
981,941
958,942
1004,943
958,944
1165,946
956,947
951,947
961,951
953,952
1008,953
988,954
958,954
962,955
959,958
1170,958
990,959
964,961
960,962
958,963
993,966
959,966
994,968
960,969
996,972
961,972
1138,978
968,979
999,979
1124,982
1120,983
1081,1010
1013,1010
1083,1014
1015,1015
1084,1019
995,1019
1016,1021
1086,1024
1086,1028
1088,1030
1023,1034
1002,1034
1005,1043
1007,1048
1054,1054
1010,1055
1098,1058
1011,1059
1056,1060
1014,1064
1039,1068
1061,1069
1016,1069
1102,1072
1041,1073
1017,1074
1020,1080
1021,1083
1105,1083
1106,1084
1068,1086
1024,1089
1048,1090
1026,1095
1050,1097
1027,1100
1025,1102
1053,1103
1029,1104
1031,1109
1057,1112
1032,1112
1034,1118
1080,1119
1036,1122
1060,1122
1037,1125
1038,1128
1063,1130
1040,1133
1041,1137
1043,1144
1044,1147
1069,1150
1088,1151
1044,1151
1046,1156
1048,1163
1050,1168
1052,1171
1095,1176
1054,1176
1055,1180
1056,1184
1098,1186
1058,1188
1060,1193
1101,1196
1061,1198
1060,1202
1064,1206
1064,1206
1062,1207
1063,1210
1065,1210
1064,1215
1065,1223
1065,1227
1111,1231
1110,1231
1114,1241
1068,1241
1116,1250
1119,1258
1121,1267
