x,y
957,962
952,965
948,968
943,970
943,971
938,974
934,977
929,980
924,983
725,984
730,986
735,988
915,989
740,991
910,992
745,993
749,995
905,995
750,996
902,998
755,998
756,998
895,1002
765,1003
770,1006
775,1008
780,1011
881,1012
784,1013
876,1014
791,1016
796,1019
800,1020
806,1022
811,1024
817,1025
823,1026
837,1026
832,1027
898,1037
876,1043
897,1044
876,1051
898,1059
877,1059
898,1065
877,1066
899,1072
877,1073
899,1078
877,1079
899,1086
899,1092
878,1093
899,1099
899,1105
878,1107
878,1114
878,1121
878,1129
878,1135
889,1136
889,1142
879,1142
900,1147
889,1148
879,1149
889,1154
900,1154
643,1155
642,1156
650,1157
649,1159
656,1159
890,1160
900,1161
663,1161
670,1163
670,1165
680,1167
900,1168
879,1169
687,1169
694,1171
890,1172
701,1173
707,1175
879,1175
714,1178
890,1179
721,1180
721,1181
900,1183
736,1185
890,1186
735,1187
880,1187
901,1190
890,1191
740,1192
742,1192
880,1194
890,1197
901,1199
736,1202
901,1206
732,1208
729,1214
724,1218
725,1219
721,1226
717,1232
712,1237
713,1237
881,1240
891,1244
709,1244
709,1245
880,1248
705,1251
902,1252
881,1255
702,1256
891,1258
902,1259
891,1264
881,1265
902,1267
694,1269
881,1272
688,1274
891,1275
690,1275
901,1275
