x,y
830,642
955,642
954,649
830,649
954,655
830,657
955,662
828,665
830,665
955,668
830,673
955,679
955,681
830,682
954,689
830,690
955,695
830,698
955,701
955,707
955,714
955,719
830,721
955,727
830,730
955,733
830,738
955,740
830,745
955,747
955,753
830,754
955,760
830,762
955,771
955,779
830,780
955,786
955,793
830,796
829,798
955,799
830,803
955,806
955,813
842,816
850,816
858,817
866,818
874,818
882,818
890,819
898,819
906,820
918,820
925,821
934,822
942,822
949,823
835,830
840,830
846,830
852,830
858,831
864,831
870,831
876,832
881,832
887,832
893,833
899,833
905,833
911,834
917,834
930,835
935,835
946,836
955,840
955,846
830,851
955,851
954,857
830,857
955,863
830,864
955,869
831,871
955,875
830,878
955,881
830,885
955,887
830,891
955,893
830,898
954,899
831,905
955,906
955,913
830,917
955,919
830,923
955,925
831,930
955,930
955,936
831,937
831,944
955,947
831,950
955,953
955,958
955,963
831,964
955,967
831,971
955,973
642,973
648,977
831,978
955,979
654,980
955,984
831,984
955,990
672,991
831,991
850,995
836,996
872,996
843,996
865,996
879,996
858,996
886,996
894,996
690,1001
696,1005
703,1008
709,1012
716,1014
721,1018
728,1021
857,1025
741,1027
858,1027
747,1029
870,1033
861,1034
859,1034
857,1034
764,1036
773,1040
780,1042
786,1045
794,1047
803,1050
840,1061
847,1063
854,1064
864,1067
872,1068
880,1070
785,1071
889,1072
969,1081
980,1081
988,1081
1054,1082
1045,1083
1088,1083
1099,1083
1105,1083
1127,1084
1138,1084
1153,1085
1166,1087
1189,1091
1199,1093
1210,1096
1216,1098
1222,1100
1229,1102
1236,1104
992,1107
997,1107
1003,1107
1011,1107
1000,1107
1007,1107
1019,1107
1016,1107
1244,1107
1012,1107
1033,1108
1027,1108
1023,1108
1037,1108
1030,1108
1041,1108
1043,1108
1051,1108
1055,1108
1068,1108
1065,1108
1058,1108
1082,1108
1072,1108
1079,1108
1076,1108
1250,1110
1255,1111
1262,1114
1270,1118
1275,1119
758,1246
755,1253
753,1260
751,1267
