x,y
729,646
708,648
708,654
708,662
708,669
708,676
719,677
719,682
709,683
730,688
719,689
709,690
719,694
730,694
720,701
730,702
730,709
709,710
720,713
709,716
720,719
730,724
720,726
710,727
730,730
720,731
710,735
720,737
731,739
731,747
711,780
721,784
710,788
732,792
711,795
721,798
732,799
721,804
711,805
732,807
711,812
721,815
731,816
720,820
709,821
731,823
730,830
730,830
719,830
718,836
729,836
707,838
717,842
727,844
705,846
716,848
714,853
703,853
723,861
701,861
712,862
710,868
721,868
698,868
719,873
707,873
695,876
705,879
716,880
692,883
703,885
700,890
688,891
710,893
697,896
684,898
707,899
695,900
680,903
691,906
702,907
703,908
676,909
661,931
686,932
673,933
657,937
669,938
653,943
666,943
663,948
649,949
659,953
645,954
655,958
964,960
974,961
956,962
653,963
947,963
980,964
940,966
987,968
992,971
659,973
645,973
901,974
893,975
870,975
885,975
999,975
655,978
1006,979
864,979
641,981
651,984
711,985
866,986
649,987
709,988
724,988
645,992
865,993
724,995
710,995
715,997
703,997
720,999
702,1001
865,1001
718,1002
702,1003
719,1004
699,1004
712,1006
705,1006
702,1007
700,1007
709,1011
695,1012
698,1012
701,1013
712,1013
713,1013
693,1014
704,1015
707,1015
693,1018
696,1019
705,1020
700,1021
694,1022
710,1022
697,1023
866,1024
688,1028
705,1029
695,1030
702,1031
866,1033
691,1033
686,1034
703,1034
703,1037
699,1038
689,1038
686,1039
702,1040
701,1040
866,1041
699,1041
703,1042
694,1042
699,1042
703,1043
703,1043
866,1048
640,1055
867,1055
640,1062
1046,1063
1041,1064
1035,1066
1031,1068
1027,1069
641,1070
1022,1071
1198,1071
1017,1073
1013,1074
1199,1076
1008,1076
1003,1078
646,1079
998,1079
1196,1080
1199,1081
994,1081
653,1082
1204,1082
656,1084
1188,1085
975,1087
1184,1088
1194,1088
1188,1089
1204,1089
1133,1089
970,1089
1130,1089
966,1091
1144,1091
1201,1092
960,1092
1126,1093
1139,1094
1130,1094
956,1094
1188,1094
1205,1095
1143,1095
1197,1096
684,1096
1134,1096
951,1096
1148,1097
1111,1097
1138,1097
947,1098
688,1098
1185,1098
1152,1098
1126,1099
942,1099
1131,1100
1179,1100
937,1101
933,1102
1127,1103
1113,1104
1151,1105
1186,1106
1133,1107
1111,1109
1180,1109
1156,1111
653,1111
1155,1111
1185,1112
1103,1112
1039,1114
1028,1114
1096,1116
1026,1117
1048,1117
1116,1117
1044,1117
1029,1119
1059,1119
1036,1119
1071,1119
673,1119
1088,1120
1119,1120
1119,1120
1118,1120
1118,1120
1118,1121
1055,1121
1117,1121
1116,1121
1117,1121
1115,1121
1064,1121
677,1121
1114,1121
1114,1121
1160,1122
1192,1122
1108,1122
1108,1123
1075,1123
1109,1123
1043,1123
1107,1123
1106,1123
974,1123
1081,1123
1107,1123
1105,1123
1107,1123
1108,1123
1106,1123
968,1124
1104,1124
1104,1124
1105,1124
1058,1124
1103,1124
1102,1124
1102,1124
967,1124
1101,1124
1101,1124
1035,1125
1100,1125
1102,1125
1101,1125
1099,1125
1099,1125
1098,1125
1192,1125
1098,1126
1097,1126
1098,1126
979,1127
964,1127
1067,1127
1162,1128
1087,1128
959,1128
975,1128
1053,1129
955,1129
1047,1129
971,1130
965,1131
977,1131
1037,1131
958,1131
1071,1132
1166,1133
1196,1133
1061,1134
1055,1135
970,1136
989,1136
1033,1136
1049,1137
1169,1137
1042,1138
1200,1138
984,1138
1194,1139
1177,1139
1029,1141
991,1141
1189,1141
1174,1143
1202,1143
979,1144
1168,1144
1040,1145
974,1145
1194,1145
855,1146
850,1146
992,1147
1172,1148
1176,1148
996,1148
985,1148
850,1148
848,1149
854,1149
845,1149
1040,1149
849,1150
986,1151
974,1154
1110,1155
1100,1155
1058,1155
1091,1155
1041,1155
1068,1155
1080,1155
1033,1155
1118,1181
1126,1182
1132,1182
1108,1182
1088,1182
1080,1182
1114,1182
1102,1182
1077,1182
1068,1182
1071,1182
1055,1182
1094,1182
1042,1182
1048,1182
